Dest,Distance,LateAircraftDelay
ATL,1946.0,30.0
ATL,227.0,39.0
ATL,515.0,8.0
ATL,247.0,18.0
ATL,516.0,10.0
ATL,341.0,73.0
ATL,590.0,35.0
ATL,689.0,6.0
ATL,481.0,56.0
ATL,595.0,54.0
ATL,2182.0,24.0
ATL,903.0,30.0
ATL,946.0,16.0
ATL,403.0,42.0
ATL,761.0,216.0
ATL,732.0,19.0
ATL,665.0,354.0
ATL,2182.0,43.0
ATL,332.0,6.0
ATL,743.0,19.0
ATL,481.0,11.0
ATL,745.0,73.0
ATL,595.0,41.0
ATL,227.0,14.0
ATL,425.0,116.0
ATL,696.0,22.0
ATL,356.0,69.0
ATL,1946.0,13.0
ATL,164.0,25.0
ATL,1199.0,38.0
ATL,533.0,15.0
ATL,483.0,35.0
ATL,227.0,31.0
ATL,2139.0,29.0
ATL,227.0,17.0
ATL,270.0,14.0
ATL,633.0,18.0
ATL,732.0,12.0
ATL,689.0,25.0
ATL,813.0,12.0
ATL,594.0,27.0
ATL,2139.0,31.0
ATL,515.0,40.0
ATL,153.0,43.0
ATL,264.0,8.0
ATL,732.0,15.0
ORD,116.0,48.0
ORD,137.0,17.0
ORD,612.0,29.0
ORD,867.0,21.0
ORD,177.0,58.0
ORD,590.0,22.0
ORD,622.0,25.0
ORD,235.0,4.0
ORD,1144.0,28.0
ORD,215.0,25.0
ORD,273.0,10.0
ORD,723.0,33.0
ORD,196.0,1.0
ORD,296.0,28.0
ORD,196.0,60.0
ORD,843.0,5.0
ORD,412.0,69.0
ORD,273.0,47.0
ORD,606.0,28.0
ORD,177.0,142.0
ORD,466.0,45.0
ORD,316.0,28.0
ORD,196.0,56.0
ORD,528.0,75.0
ORD,622.0,37.0
ORD,157.0,80.0
ORD,416.0,6.0
ORD,222.0,68.0
ORD,783.0,5.0
ORD,316.0,7.0
ORD,888.0,6.0
ORD,1144.0,52.0
ORD,264.0,38.0
ORD,258.0,11.0
ORD,130.0,29.0
ORD,802.0,2.0
ORD,235.0,43.0
ORD,802.0,6.0
ORD,678.0,108.0
ORD,584.0,36.0
ORD,607.0,53.0
ORD,584.0,62.0
ORD,1745.0,80.0
ORD,1739.0,132.0
ORD,139.0,37.0
ORD,109.0,39.0
ORD,135.0,29.0
ORD,867.0,8.0
ORD,1721.0,10.0
ORD,733.0,53.0
ORD,1721.0,10.0
ORD,84.0,116.0
ORD,286.0,11.0
ORD,1440.0,30.0
ORD,802.0,126.0
ORD,1846.0,41.0
ORD,473.0,17.0
ORD,678.0,175.0
ORD,286.0,10.0
ORD,1846.0,95.0
ORD,779.0,23.0
ORD,177.0,11.0
ORD,412.0,68.0
ORD,678.0,17.0
ORD,522.0,86.0
ORD,412.0,78.0
ORD,802.0,3.0
ORD,501.0,23.0
ORD,462.0,116.0
ORD,491.0,32.0
ORD,438.0,42.0
ORD,157.0,25.0
ORD,584.0,61.0
ORD,264.0,38.0
ORD,1515.0,68.0
ORD,865.0,49.0
ORD,268.0,84.0
ORD,109.0,24.0
ORD,867.0,241.0
ORD,215.0,45.0
DFW,1235.0,99.0
DFW,1192.0,22.0
DFW,641.0,6.0
DFW,383.0,26.0
DFW,432.0,14.0
DFW,1121.0,2.0
DFW,813.0,139.0
DFW,1205.0,30.0
DFW,936.0,14.0
DFW,247.0,54.0
DFW,1055.0,9.0
DFW,134.0,29.0
DFW,1235.0,54.0
DFW,1217.0,118.0
DFW,631.0,51.0
DFW,134.0,77.0
DFW,927.0,10.0
DFW,1464.0,40.0
DFW,140.0,61.0
DFW,224.0,45.0
DFW,164.0,29.0
DFW,1055.0,10.0
DFW,175.0,41.0
DFW,1172.0,19.0
DFW,313.0,31.0
DFW,862.0,20.0
DFW,140.0,9.0
DFW,1372.0,56.0
DFW,641.0,19.0
DFW,802.0,8.0
DFW,328.0,3.0
DFW,282.0,32.0
DFW,812.0,46.0
DFW,190.0,18.0
DFW,988.0,93.0
DFW,304.0,108.0
DFW,313.0,18.0
DFW,1235.0,17.0
DFW,364.0,32.0
DFW,1389.0,102.0
DFW,190.0,24.0
DFW,936.0,43.0
DFW,695.0,17.0
DFW,1235.0,52.0
DFW,919.0,41.0
DFW,383.0,21.0
DFW,802.0,32.0
DFW,685.0,24.0
DFW,984.0,30.0
DFW,228.0,24.0
DFW,1171.0,25.0
DFW,984.0,19.0
DFW,1464.0,6.0
DFW,140.0,6.0
DFW,1302.0,7.0
DFW,1192.0,38.0
DFW,919.0,49.0
DFW,988.0,86.0
DEN,72.0,18.0
DEN,967.0,12.0
DEN,895.0,85.0
DEN,888.0,38.0
DEN,541.0,29.0
DEN,641.0,8.0
DEN,406.0,51.0
DEN,992.0,14.0
DEN,602.0,4.0
DEN,391.0,21.0
DEN,629.0,38.0
DEN,680.0,25.0
DEN,483.0,16.0
DEN,495.0,31.0
DEN,888.0,53.0
DEN,770.0,32.0
DEN,649.0,59.0
DEN,349.0,47.0
DEN,1491.0,28.0
DEN,641.0,89.0
DEN,804.0,45.0
DEN,1491.0,9.0
DEN,770.0,39.0
DEN,1452.0,69.0
DEN,1506.0,11.0
DEN,861.0,12.0
